Name,V,start time,mid time,end time,duration(hours),jd_start,jd_mid,jd_end,el_start,el_mid,el_end,az_start,az_mid,az_end,ha_start,ha_mid,ha_end,coords(J2000),depth(ppt),priority,period(days),period_unc(days),T_0(BJD_TDB),T_0_unc,comments,percent_transit_observable,percent_baseline_observable,obs_start_time,obs_end_time,moon_percent,moon_dist_deg
TOI-1235 b,11.5,06/12/2024 00:02,06/12/2024 00:59,06/12/2024 01:56,01:55,10650.501,10650.541,10650.581,25,30,35,23,24,23,-6.3,-5.4,-4.4,10:08:52.38 +69:16:35.83,0.8,1,3.4447015,7.10E-06,2460333.631,0.001749,,50,50,00:58,02:59,22,131
K2-248 b,13.5,06/12/2024 05:32,06/12/2024 06:56,06/12/2024 08:20,02:48,10650.73,10650.789,10650.847,34,46,52,127,148,179,-2.8,-1.4,0,12:11:16.16 -09:24:51.01,0.7,1,7.17256,0.00148,2457588.104,0.0078,,50,1,05:11,06:56,25,127
Kepler-173 b,14.4,05/12/2024 17:59,05/12/2024 19:08,05/12/2024 20:17,02:17,10650.249,10650.297,10650.345,61,48,36,306,302,303,2.1,3.3,4.4,19:38:35.19 +41:53:02.74,0.18,1,4.26374847,1.37E-05,2454966.72,0.00234,,49,18,19:09,20:47,20,67
HATS-16 b,14,05/12/2024 19:45,05/12/2024 21:02,05/12/2024 22:18,02:33,10650.323,10650.376,10650.429,31,30,23,175,194,211,-0.4,0.9,2.2,23:54:14.12 -30:00:46.94,12.3,1,2.68650415,5.30E-06,2459089.518,0.001788,,49,25,19:13,21:00,21,42
Kepler-1932 b,15.3,05/12/2024 19:44,05/12/2024 20:10,05/12/2024 20:36,00:52,10650.322,10650.341,10650.359,34,30,25,302,303,305,4.5,5,5.4,19:01:19.56 +41:03:49.84,0.24,1,0.52417609,7.20E-07,2454964.601,0.00115,,47,25,19:09,20:09,21,68
Kepler-55 d,15.7,05/12/2024 19:26,05/12/2024 20:15,05/12/2024 21:05,01:39,10650.309,10650.344,10650.378,38,29,21,305,307,310,4.2,5,5.9,19:00:40.40 +44:01:35.36,0.72,1,2.21111699,2.69E-06,2455003.15,0.000969,,46,12,19:09,20:12,21,71
Kepler-1317 b,15.1,05/12/2024 20:02,05/12/2024 20:39,05/12/2024 21:15,01:13,10650.335,10650.36,10650.386,36,29,23,303,305,307,4.4,5,5.6,19:26:26.85 +42:06:57.52,0.38,1,0.56887195,5.30E-07,2454965.053,0.00074,,45,39,19:09,20:35,21,67
TOI-4527.01,10.9,06/12/2024 01:03,06/12/2024 01:27,06/12/2024 01:51,00:48,10650.544,10650.56,10650.577,35,29,24,256,259,263,3.6,4,4.4,01:17:53.34 +05:28:16.32,0.33,1,0.3994445,1.34E-05,2459474.2,0.001356,,45,50,23:06,01:24,23,69
K2-329 b,12.7,05/12/2024 17:08,05/12/2024 18:56,05/12/2024 20:45,03:37,10650.214,10650.289,10650.365,41,55,52,127,162,209,-2.5,-0.7,1.1,23:24:32.49 -05:09:50.92,9.4,1,12.4551225,3.10E-06,2457773.157,7.50E-05,,44,50,19:09,21:46,20,43
Kepler-735 b,15.5,05/12/2024 17:51,05/12/2024 19:00,05/12/2024 20:08,02:17,10650.244,10650.291,10650.339,54,43,31,310,308,309,2.7,3.8,5,18:58:45.32 +46:10:19.70,1.4,1,11.51516739,1.27E-06,2454973.313,0.001132,,43,3,19:09,20:12,20,73
